"block","raintreat","comp","br","brc","germrate","seedsum","count","gr"
1,"D","A","1D","1DA",0.875,613,7,87.5714285714286
1,"D","B","1D","1DB",0.888888888888889,121,6,20.1666666666667
1,"W","A","1W","1WA",0.9,559,10,55.9
1,"W","B","1W","1WB",0.777777777777778,88,9,9.77777777777778
1,"C","B","1C","1CB",0.8,240,10,24
1,"C","A","1C","1CA",0.9,728,9,80.8888888888889
2,"D","A","2D","2DA",0.5,208,8,26
2,"D","B","2D","2DB",0.555555555555556,25,6,4.16666666666667
2,"W","B","2W","2WB",0.666666666666667,37,9,4.11111111111111
2,"W","A","2W","2WA",0.777777777777778,440,8,55
2,"C","A","2C","2CA",0.777777777777778,444,9,49.3333333333333
2,"C","B","2C","2CB",0.7,48,10,4.8
3,"C","A","3C","3CA",0.75,854,8,106.75
3,"C","B","3C","3CB",0.9,55,8,6.875
3,"D","A","3D","3DA",0.666666666666667,1293,9,143.666666666667
3,"D","B","3D","3DB",0.75,326,7,46.5714285714286
3,"W","A","3W","3WA",0.9,2913,10,291.3
3,"W","B","3W","3WB",0.8,615,9,68.3333333333333
4,"C","A","4C","4CA",0.777777777777778,327,9,36.3333333333333
4,"C","B","4C","4CB",0.7,117,8,14.625
4,"D","B","4D","4DB",0.75,77,6,12.8333333333333
4,"D","A","4D","4DA",0.666666666666667,972,9,108
4,"W","A","4W","4WA",0.7,1202,10,120.2
4,"W","B","4W","4WB",0.875,56,7,8
5,"D","B","5D","5DB",0.7,40,9,4.44444444444444
5,"D","A","5D","5DA",0.5,458,6,76.3333333333333
5,"W","B","5W","5WB",0.333333333333333,17,7,2.42857142857143
5,"W","A","5W","5WA",1,894,4,223.5
5,"C","A","5C","5CA",0.888888888888889,513,9,57
5,"C","B","5C","5CB",0.75,191,8,23.875
6,"D","A","6D","6DA",0.25,35,4,8.75
6,"D","B","6D","6DB",0.8,708,10,70.8
6,"W","B","6W","6WB",0.666666666666667,124,9,13.7777777777778
6,"W","A","6W","6WA",0.571428571428571,646,7,92.2857142857143
6,"C","A","6C","6CA",0.571428571428571,454,7,64.8571428571429
6,"C","B","6C","6CB",1,185,10,18.5
7,"C","B","7C","7CB",1,156,9,17.3333333333333
7,"C","A","7C","7CA",0.625,991,8,123.875
7,"D","A","7D","7DA",0.857142857142857,1526,7,218
7,"D","B","7D","7DB",0.857142857142857,729,7,104.142857142857
7,"W","A","7W","7WA",0.7,1120,10,112
7,"W","B","7W","7WB",1,142,9,15.7777777777778
8,"D","B","8D","8DB",0.714285714285714,119,7,17
8,"D","A","8D","8DA",1,1197,7,171
8,"W","A","8W","8WA",0.666666666666667,1141,9,126.777777777778
8,"W","B","8W","8WB",0.375,16,7,2.28571428571429
8,"C","B","8C","8CB",0.875,113,6,18.8333333333333
8,"C","A","8C","8CA",0.8,487,10,48.7
9,"C","A","9C","9CA",0.833333333333333,556,6,92.6666666666667
9,"C","B","9C","9CB",0.857142857142857,111,7,15.8571428571429
9,"D","A","9D","9DA",0.875,625,7,89.2857142857143
9,"D","B","9D","9DB",1,202,9,22.4444444444444
9,"W","B","9W","9WB",0.8,330,10,33
9,"W","A","9W","9WA",1,1295,9,143.888888888889
10,"D","A","10D","10DA",0.714285714285714,485,7,69.2857142857143
10,"D","B","10D","10DB",0.625,80,8,10
10,"W","A","10W","10WA",1,1008,8,126
10,"W","B","10W","10WB",0.888888888888889,79,9,8.77777777777778
10,"C","B","10C","10CB",0.857142857142857,44,5,8.8
10,"C","A","10C","10CA",0.75,1056,8,132
